||Month : 11 - 2015|||Vehical : All Vehicals||||By user : asiri
NO|Bill No|Customer|Tol Sale|Varience|Expiries|Damages|Discount|GR|F/Issu|Cash|Cheques|Debit|Credits
200|A00301|B.S.J st - THU|28017|-1.11|1975.25|0|1167.42|0|0|28017|0|0|0|
201|A00633|Himansa Hotel - THU|834|-.45|578.55|0|0|0|0|834|0|0|0|
202|A00639|Gunadasa st - THU|1821|0|0|0|0|0|0|1500|0|0|321|
203|A00868|Premasiri st - THU|855|0|0|0|0|0|0|855|0|0|0|
204|A00875|Malini st - THU|5009|-.87|0|0|0|0|0|5009|0|0|0|
205|40657|Shanthi st - THU|1986|.73|235.88|0|0|0|0|1986|0|0|0|
206|40676|Vithanage st - THU|1370|2|0|0|0|0|0|1370|0|0|0|
207|40679|Sampath st - THU|2054|.86|0|0|0|0|0|2054|0|0|0|
208|A01139|Disanayaka st - WED|2083|-.54|0|0|0|0|0|2083|0|0|0|
209|A01142|Singhe st - WED|1141|-.2|0|0|47.55|0|0|1141|0|0|0|
210|A01169|Wickrama st - WED|5142|-.72|0|0|214.28|0|0|5142|0|0|0|
211|A01126|Isuru St - MON|945|0|0|0|0|0|0|945|0|0|0|
212|A01123|Sanasa - MON|1438|-.08|0|0|0|0|0|1438|0|0|0|
213|A01129|Saman st - MON|1125|0|0|0|0|0|0|1125|0|0|0|
214|A01167|Thissa st - WED|1263|-.69|245.35|0|0|0|0|1263|0|0|0|
215|A01146|Chandra st - WED|1687|-.95|493.05|0|0|0|0|1687|0|0|0|
216|A01168|Nilmini st - WED|1015|-.5|0|0|0|0|0|1015|0|0|0|
217|A01145|Atlas st - WED|216|0|0|0|0|0|0|216|0|0|0|
218|A01140|Saranga Ph - WED|1035|-.76|0|0|0|0|0|1035|0|0|0|
219|A01136|Madu st - WED|540|0|0|0|0|0|0|540|0|0|0|
220|A01120|Wenasa T/R - MON|1789|-.52|0|0|0|0|0|1789|0|0|0|
221|A01121|Srimal st - MON|1885|-.14|0|0|0|0|0|1885|0|0|0|
222|A01128|Jayawickrama st - MON|3308|-.25|0|0|0|0|0|3308|0|0|0|
223|A01144|Sarasi B/S - WED|699|1.5|0|0|0|0|0|699|0|0|0|
224|A01131|Gihan Pharmacy - WED|6690|-.34|0|0|0|0|0|0|6690|0|0|
225|A00695|Bagya st - MON|1457.7|0|0|0|0|0|0|1457.7|0|0|0|
226|A00700|Saman st - MON|4252.5|0|0|0|0|0|0|1000|0|0|0|
227|A00457|Karunarathna st - WED|5823|-.7|256.5|0|0|0|0|23|3800|0|0|
228|A01141|Karunarathna st - WED|6376|-.24|0|0|0|0|0|0|0|0|6376|
229|40636|Wickrama B/S - WED|312|.09|464.64|0|0|0|0|312|0|0|0|
230|A01133|Liyanage st - Thawalama - WED|15383|-.17|0|0|640.97|0|0|0|0|0|15383|
231|A01165|Shamali st - WED|1056|0|0|0|0|0|0|786|0|0|270|
232|A01160|Gamage st - Malgalla - WED|1958|-.58|0|0|0|0|0|1958|0|0|0|
233|A01156|Wanasinghe st - WED|2104|-.52|0|0|0|0|0|2104|0|0|0|
234|A01157|Alpitiya st - WED|2159|-.58|0|0|0|0|0|2159|0|0|0|
235|A01158|Chathura st - WED|1776|-.75|0|0|0|0|0|1776|0|0|0|
236|A01153|Chandra st - WED|599|.3|0|0|0|0|0|599|0|0|0|
237|A01151|Gunawardana st - WED|1083|0|0|0|0|0|0|1083|0|0|0|
238|A01172|Gamage st - Opatha - WED|2182|-.7|0|0|0|0|0|2182|0|0|0|
239|A01150|Gunawardana st  2 - WED|1350|0|0|0|0|0|0|1350|0|0|0|
240|A01161|Gamini st - WED|315|0|0|0|0|0|0|315|0|0|0|
241|A01162|Chinthaka st - WED|4497|-.86|324|0|187.41|0|0|4497|0|0|0|
242|A01148|Madu st - WED|2801|-.1|0|0|0|0|0|2801|0|0|0|
243|A01163|Priyantha st - WED|367|-.5|0|0|0|0|0|367|0|0|0|
244|A01132|Sunil T/R - WED|360|0|0|0|0|0|0|360|0|0|0|
245|A00477|Kavisha st - WED|4970|-.79|162|0|0|0|0|500|0|0|4470|
246|A00469|Malith st - WED|3416|-.18|0|0|0|0|0|3416|0|0|0|
247|A00741|Sampath st - Malgalla - WED|1727|.12|0|0|0|0|0|1000|0|0|0|
248|A00732|Shan st - WED|3969|-.6|504|0|165.4|0|0|3969|0|0|0|
249|A00731|Renuka st - WED|9986|-.69|515.55|0|416.11|0|0|5000|0|0|4986|
250|A01227|Abesena st - FRI|1970|-.1|0|0|0|0|0|1970|0|0|0|
251|A01237|Nanayakkara st - FRI|9868|-.21|324|0|629.89|0|0|9868|0|0|0|
252|A01238|Dinuka st - FRI|889|-.52|0|0|0|0|0|889|0|0|0|
253|A01212|Jeewan F/S - FRI|4610|-.22|238.5|0|0|0|0|4610|0|0|0|
254|A01214|Deegayu st - FRI|54|0|619.05|0|0|0|0|54|0|0|0|
255|A01264|K.V.R st - FRI|1671|-.04|0|0|0|0|0|1671|0|0|0|
256|A01265|Sunil st - FRI|762|-.6|0|0|0|0|0|762|0|0|0|
257|A01236|Uthara Hotel - FRI|675|-.75|0|0|0|0|0|675|0|0|0|
258|A01219|Sehansa Ph - FRI|3066|-.4|0|0|0|0|0|3066|0|0|0|
259|A01229|Rasith st - FRI|373|-.5|0|0|0|0|0|373|0|0|0|
260|A01230|Madushani st - FRI|1978|-.5|0|0|0|0|0|1978|0|0|0|
261|A01231|Mahinda st - FRI|1485|-.4|0|0|0|0|0|1485|0|0|0|
262|A01225|Fruit Shop - FRI|1729|.23|0|0|0|0|0|1729|0|0|0|
263|A01217|Singhagiri Gr. - FRI|21629|-.95|1503|0|901.25|0|0|1629|20000|0|0|
