||Month : 11 - 2015|||Vehical : All Vehicals||||By user : asiri
NO|Bill No|Customer|Tol Sale|Varience|Expiries|Damages|Discount|GR|F/Issu|Cash|Cheques|Debit|Credits
197|A01120|Wenasa T/R - MON|1789|-.52|0|0|0|0|0|1789|0|0|0|
198|A01121|Srimal st - MON|1885|-.14|0|0|0|0|0|1885|0|0|0|
199|A01123|Sanasa - MON|1438|-.08|0|0|0|0|0|1438|0|0|0|
200|A01124|Chandika st - MON|5893|-.83|0|0|0|0|0|0|0|0|5893|
201|A01126|Isuru St - MON|945|0|0|0|0|0|0|945|0|0|0|
202|A01128|Jayawickrama st - MON|3308|-.25|0|0|0|0|0|3308|0|0|0|
203|A01129|Saman st - MON|1125|0|0|0|0|0|0|1125|0|0|0|
204|A01131|Gihan Pharmacy - WED|6690|-.34|0|0|0|0|0|0|6690|0|0|
205|A01132|Sunil T/R - WED|360|0|0|0|0|0|0|360|0|0|0|
206|A01133|Liyanage st - Thawalama - WED|15383|-.17|0|0|640.97|0|0|0|0|0|15383|
207|A01134|Upali T /R - WED|2338|-.5|0|0|0|0|0|0|0|0|2338|
208|A01135|Jayaneththi st - WED|1619|-.1|0|0|0|0|0|0|0|0|1619|
209|A01136|Madu st - WED|540|0|0|0|0|0|0|540|0|0|0|
210|A01137|Kamburupitiya st - WED|7880|-.73|0|0|328.36|0|0|0|0|0|7880|
211|A01139|Disanayaka st - WED|2083|-.54|0|0|0|0|0|2083|0|0|0|
212|A01140|Saranga Ph - WED|1035|-.76|0|0|0|0|0|1035|0|0|0|
213|A01141|Karunarathna st - WED|6376|-.24|0|0|0|0|0|0|0|0|6376|
214|A01142|Singhe st - WED|1141|-.2|0|0|47.55|0|0|1141|0|0|0|
215|A01143|Wickrama B/S - Jesmin uyana - WED|1010|-.25|0|0|0|0|0|0|0|0|1010|
216|A01144|Sarasi B/S - WED|699|1.5|0|0|0|0|0|699|0|0|0|
217|A01145|Atlas st - WED|216|0|0|0|0|0|0|216|0|0|0|
218|A01146|Chandra st - WED|1687|-.95|493.05|0|0|0|0|1687|0|0|0|
219|A01148|Madu st - WED|2801|-.1|0|0|0|0|0|2801|0|0|0|
220|A01150|Gunawardana st  2 - WED|1350|0|0|0|0|0|0|1350|0|0|0|
221|A01151|Gunawardana st - WED|1083|0|0|0|0|0|0|1083|0|0|0|
222|A01152|Nihal st - WED|675|0|0|0|0|0|0|0|0|0|675|
223|A01153|Chandra st - WED|599|.3|0|0|0|0|0|599|0|0|0|
224|A01156|Wanasinghe st - WED|2104|-.52|0|0|0|0|0|2104|0|0|0|
225|A01157|Alpitiya st - WED|2159|-.58|0|0|0|0|0|2159|0|0|0|
226|A01158|Chathura st - WED|1776|-.75|0|0|0|0|0|1776|0|0|0|
227|A01159|Malith st - WED|2233|0|0|0|0|0|0|0|0|0|2233|
228|A01160|Gamage st - Malgalla - WED|1958|-.58|0|0|0|0|0|1958|0|0|0|
229|A01161|Gamini st - WED|315|0|0|0|0|0|0|315|0|0|0|
230|A01162|Chinthaka st - WED|4497|-.86|324|0|187.41|0|0|4497|0|0|0|
231|A01163|Priyantha st - WED|367|-.5|0|0|0|0|0|367|0|0|0|
232|A01165|Shamali st - WED|1056|0|0|0|0|0|0|786|0|0|270|
233|A01167|Thissa st - WED|1263|-.69|245.35|0|0|0|0|1263|0|0|0|
234|A01168|Nilmini st - WED|1015|-.5|0|0|0|0|0|1015|0|0|0|
