1047,Ambawatta st,Wanduramba Ovilana
1046,Wenuri st,Wanduramba Ovilana
1045,Lakmali cafe,Other Custermer
1044,Ella st,Thalagaha Kuruduwatta
1043,T.V.K st,Thalagaha Kuruduwatta
1042,Liyanage st-pitadeniya,Thalagaha Kuruduwatta
1041,Sakura st,Thalagaha Kuruduwatta
1040,Wasana st,Thalagaha Kuruduwatta
1039,Anura st,Thalagaha Kuruduwatta
1038,K.A.G st,Ovilana Labuduwa
1037,W.H.G st,Ovilana Labuduwa
1036,Shantha st,Ovilana Labuduwa
1035,S.H.A st,Ovilana Labuduwa
1034,Rath jumbogaha st,Ovilana Labuduwa
1033,Karunapala st,Ovilana Labuduwa
1032,Gamage st 2,Ovilana Labuduwa
1031,Sampath st-talagaha,Ovilana Labuduwa
1030,Rawee st,Ovilana Labuduwa
1029,Lional Hotel,Narawala  Ambalanwatta
1028,Nugagahawaththa st,Nagoda Unanvitiya
1027,Sisira st,Nagoda Unanvitiya
1026,Kumarasiri st,Nagoda Unanvitiya
1025,Nagahawatta st,Yatalamatta bandarapura
1024,Liyanage st-Nagoda,Nagoda Unanvitiya
1023,Pathma st,Nagoda Unanvitiya
1022,Sugath st 2,Nagoda Unanvitiya
1021,Shakthi st,Nagoda Unanvitiya
1020,Jayasekara st 1,Kottwa Yatalamatta
1019,Tapal kade,Kottwa Yatalamatta
1018,DAmith st,Kottwa Yatalamatta
1017,D.W st,Kottawa Yatalamatta
1016,Nilmini st,Kottwa Yatalamatta
1015,Amarasingha st,Kottwa Yatalamatta
1014,Jayaweera st,Kottwa Yatalamatta
1013,Jayasekara st,Kottwa Yatalamatta
1012,Lashan st,Kottwa Yatalamatta
1011,Piyatilaka st,Kottwa Yatalamatta
1010,Lahiru st,Kottwa Yatalamatta
1009,Okrathna st,Kottwa Yatalamatta
1008,Sisira st,Kottwa Yatalamatta
1007,Dilsada st,Kottwa Yatalamatta
1006,Eranga st,Kottwa Yatalamatta
1005,Siripala st,Yatalamatta bandarapura
1004,Chandani st,Yatalamatta bandarapura
1003,Pasindu st,Yatalamatta bandarapura
1002,Priyankara st,Yatalamatta bandarapura
1001,Sandya st,Yatalamatta bandarapura
1000,Priyangika st,Yatalamatta bandarapura
999,Vidura st,Yatalamatta bandarapura
998,Nilanthi st,Kuruduwatta Kottawa
997,Sanuri st,Thalagaha Kuruduwatta
996,W.H.G st,Thalagaha Kuruduwatta
995,N.J.S st,Thalagaha Kuruduwatta
994,Priyanta st-kubukgaha,Wanduramba Ovilana
993,Isuri st,Wanduramba Ovilana
992,Amarasena st 2,Wanduramba Ovilana
991,Manujaya st,Wanduramba Ovilana
990,Liyanagama st,Wanduramba Ovilana
989,Vineeta st,Wanduramba Ovilana
988,Senewirathna st,Wanduramba Ovilana
987,Buddika st,Wanduramba Ovilana
986,Amarasena st,Wanduramba Ovilana
985,Kumari st,Wanduramba Ovilana
984,Ananda st,Wanduramba Ovilana
983,Sisila st,Wanduramba Ovilana
982,Mims pharmacy,Wanduramba Ovilana
981,Denujaya st,Wanduramba Ovilana
980,Udara hottel,Wanduramba Ovilana
979,Amara st,Wanduramba Ovilana
978,Kalpa st,Wanduramba Ovilana
977,Siri st,Wanduramba Ovilana
976,PRasanna st,Thalagaha Kuruduwatta
975,Samurdi st,Thalagaha Kuruduwatta
974,K.G.P st,Thalagaha Kuruduwatta
973,W.G.S st,Thalagaha Kuruduwatta
972,Kelum st,Thalagaha Kuruduwatta
971,Sarath st,Thalagaha Kuruduwatta
970,Ivyhills Tea factory,Yatalamatta bandarapura
969,Pathiraja st,Ovilana Labuduwa
968,Mahimi st,Ovilana Labuduwa
967,Jayawardana,Ovilana Labuduwa
966,Bo-sewana food city,Nagoda Unanvitiya
965,Ishara st,Nagoda Unanvitiya
964,D.M.Gamage st,Nagoda Unanvitiya
963,Rathnavila st,Nagoda Unanvitiya
962,Sarath st,Nagoda Unanvitiya
961,Manelsiri st,Nagoda Unanvitiya
960,Asiri st 2,Nagoda Unanvitiya
959,Amila st 2,Nagoda Unanvitiya
958,Kumara hottel,Nagoda Unanvitiya
957,WAsanti st,Nagoda Unanvitiya
956,Vitana st-bovitiyamulla,Kottwa Yatalamatta
955,Milan st,Kottwa Yatalamatta
954,Chandana st- talawa,Kottawa Yatalamatta
953,Vitana st 2,Kottwa Yatalamatta
952,Sarath st,Kottwa Yatalamatta
951,Sigiri hottel,Kottwa Yatalamatta
950,WItana st-wanduramba,Kottwa Yatalamatta
949,Lakshan st,Kottawa Yatalamatta
948,Chandana -kottawa,Kottwa Yatalamatta
947,Binudi st,Dangedara  Elliot Road
946,Bandula st,Yatalamatta bandarapura
945,Wenuri st,Yatalamatta bandarapura
944,Lal st-Unanvitiya,Yatalamatta bandarapura
943,Suneth st,Yatalamatta bandarapura
942,Janaka st,Yatalamatta bandarapura
941,Samarawikkrama st,Yatalamatta bandarapura
940,Lal st,Yatalamattha Banbarapura
939,Liyanage-unanvitiya,Yatalamattha Banbarapura
938,Sunil-Yatalamatta,Yatalamatta bandarapura
937,Saman-Yatalamatta,Yatalamatta bandarapura
936,Mashin kade,Yatalamattha Banbarapura
935,Uthpala st,Yatalamatta bandarapura
934,Shakthi st,Yatalamatta bandarapura
933,Muthu Gr.,Dangedara  Elliot Road
932,Guruge st,Wanduramba Ovilana
931,Nadeesha st,Wanduramba Ovilana
930,Bandu st,Wanduramba Ovilana
929,Liyanabandu st,Wanduramba Ovilana
928,Danushka st,Wanduramba Ovilana
927,Kalansooriya st,Wanduramba Ovilana
926,Samaranayaka st - kirindahena,Wanduramba Ovilana
925,Nanayakkara 2 st,Wanduramba Ovilana
924,Anurada st,Wanduramba Ovilana
923,Paranawaththa st,Wanduramba Ovilana
922,Taruka stores,Thalagaha Kuruduwatta
921,SAndun stores,Thalagaha Kuruduwatta
920,Maduranga stores,Thalagaha Kuruduwatta
919,Harith stores,Thalagaha Kuruduwatta
918,Patirana stores,Thalagaha Kuruduwatta
917,Galpata stores,Thalagaha Kuruduwatta
916,Susiri stores,Thalagaha Kuruduwatta
915,Nuwan stores,Thalagaha Kuruduwatta
914,Ranatunga stores,Thalagaha Kuruduwatta
913,P.v.c stores,Thalagaha Kuruduwatta
912,K M D st,Ovilana Labuduwa
911,M D S,Ovilana Labuduwa
910,Isura st,Ovilana Labuduwa
909,Janappriya,Ovilana Labuduwa
908,Sulalita Hotel,Ovilana Labuduwa
907,Janahita Hotel,Ovilana Labuduwa
906,K D C,Ovilana Labuduwa
905,Sky world B/S,Milidduwa Magalle
904,Medicare Ph.,Narawala  Ambalanwatta
903,Sawsiri st,Dangedara  Elliot Road
902,Rohini st,Milidduwa Magalle
901,Chaminda st,Kuruduwatta  Bataduwa
900,Baby Center,Kuruduwatta  Bataduwa
899,Himali st,Kuruduwatta Kottawa
898,Kulathunga st,Kuruduwatta Kottawa
897,Ayesh st,Kuruduwatta Kottawa
896,Palathuru kade,Nagoda Unanvitiya
895,Siri st,Nagoda Unanvitiya
894,Bandula st,Nagoda Unanvitiya
893,Pulasthi st,Nagoda Unanvitiya
